originreportzone,destreportzone,departtime,trippurpose,modeprimary
50,140,900,43,1
140,50,1100,80,1
120,140,1330,43,1
140,120,1600,80,1
120,140,900,10,1
140,120,1745,80,1
120,120,820,10,7
120,120,1200,80,7
120,120,1245,10,7
120,120,1730,80,7
50,120,2330,80,1
300,300,1630,41,2
300,300,1710,80,2
300,300,1630,41,1
300,300,1710,80,1
700,425,720,80,1
425,425,845,10,1
425,425,1745,80,1
200,240,1130,10,2
240,200,2030,80,3
200,240,1130,52,1
240,200,1150,80,1
450,450,925,44,1
450,450,1050,43,7
450,450,1130,80,1
450,450,1500,46,7
450,450,1510,80,7
50,50,1715,41,1
1,50,1830,46,1
50,1,1910,46,7
1,50,2200,46,7
50,450,2230,80,1
425,50,715,10,1
50,425,1519,80,1
560,200,840,11,1
200,560,1310,80,1
560,350,1200,11,1
350,560,1600,80,1
50,50,915,20,7
50,50,1600,80,3
50,50,955,20,3
50,50,1505,80,3
180,50,830,46,1
50,180,1200,80,2
180,200,1330,41,1
200,180,1445,80,1
180,200,1330,41,2
200,180,1415,80,2
120,100,900,46,6
100,120,1030,80,6
120,240,1800,44,1
240,120,2230,80,1
120,100,1200,46,6
100,120,1330,80,6
120,240,1800,44,2
240,120,2230,80,2
120,120,730,30,7
120,120,1430,80,7
300,300,1630,46,1
300,300,1745,80,1
300,1,650,10,1
1,1,1200,44,7
1,1,1315,10,7
1,300,1545,80,1
50,50,1345,46,1
50,50,1445,80,1
500,450,1130,43,1
450,500,1320,80,1
500,450,1100,43,2
450,500,1320,80,2
360,360,905,46,1
360,360,1320,44,1
360,360,1520,80,1
360,360,905,46,2
360,360,1320,44,2
360,360,1520,80,2
360,50,1835,46,1
50,360,2135,80,1
360,260,730,10,1
260,360,1730,80,1
240,200,1000,43,1
425,425,1500,41,1
425,240,1600,80,1
200,200,845,46,1
200,200,1100,80,1
500,500,1930,46,1
500,500,2100,80,1
500,500,1930,46,2
500,500,2100,80,2
425,180,1600,46,1
180,425,1700,80,1
425,180,1600,46,2
180,425,1700,80,2
425,180,1600,46,2
180,425,1700,80,2
425,180,1600,46,2
180,425,1700,80,2
425,260,840,43,1
425,425,1015,80,1
425,200,1120,11,1
200,425,1500,80,1
425,260,2200,46,1
260,260,2240,46,1
260,425,2400,80,1
425,425,800,30,18
425,425,1500,80,18
425,500,1730,46,2
500,425,1930,80,2
425,425,800,30,18
425,425,1500,80,18
425,425,800,30,18
425,425,1500,80,18
100,100,845,80,7
100,100,1745,46,7
100,100,2100,80,7
500,200,645,10,1
200,500,1540,80,1
500,500,1615,41,1
500,500,1650,41,1
500,500,1715,41,1
500,500,1740,80,1
180,140,725,10,1
140,140,930,44,1
140,140,940,10,1
140,200,1630,11,1
200,260,2115,44,1
260,180,2300,80,1
180,400,1715,52,1
400,180,1725,80,1
180,400,1715,10,2
400,180,2205,80,2
260,560,900,46,2
560,260,2000,80,2
100,140,1445,46,1
140,100,1815,80,1
120,120,1000,41,7
120,120,1400,80,7
120,300,1130,12,1
300,300,1500,12,1
300,120,1700,80,1
140,360,700,12,1
360,200,1230,41,1
200,140,1330,80,1
240,50,1000,10,1
50,200,1500,41,1
200,240,1510,80,1
180,180,900,52,1
180,180,915,80,1
180,180,1530,51,1
180,180,1545,80,1
180,400,1900,52,1
400,180,1910,80,1
180,400,730,52,1
400,140,800,12,1
140,180,1700,80,1
180,400,2100,51,1
400,180,2115,80,1
180,180,2200,80,1
180,400,1350,51,1
400,180,1415,80,1
180,400,730,30,2
400,180,1415,80,2
180,400,1900,46,2
400,180,2100,80,2
180,180,900,30,2
180,180,1545,80,2
500,500,800,52,1
500,500,810,80,1
500,500,1200,41,1
500,500,1220,80,1
500,500,1430,51,1
500,500,1445,80,1
500,500,1600,41,1
500,500,1620,80,1
500,120,600,10,2
120,500,1500,80,2
500,500,800,30,2
500,500,1445,80,2
500,500,845,20,18
500,500,1545,80,18
500,500,1045,41,1
500,500,1120,51,1
500,500,1220,41,1
500,500,1235,44,1
500,500,1305,41,1
500,500,1315,40,1
500,500,1330,41,1
500,200,1345,41,1
200,50,1430,43,1
50,500,1655,80,1
500,500,800,10,1
260,500,1755,46,1
500,500,1900,80,1
200,200,930,41,6
200,200,1100,80,6
200,200,1600,41,1
200,200,1615,80,1
200,140,1900,46,2
200,200,2115,80,7
200,200,800,46,6
200,200,805,30,6
200,200,1500,80,6
200,200,1600,41,2
200,200,1615,80,2
200,140,1900,46,2
200,200,2115,80,7
200,200,820,30,7
200,200,1500,80,7
200,200,1600,41,2
200,200,1615,80,2
200,140,1900,46,2
200,200,2115,80,7
50,50,740,43,1
50,50,1030,80,1
140,140,1410,41,1
140,140,1420,43,7
140,140,1510,41,7
140,140,1535,41,7
140,140,1555,41,7
140,120,1730,41,1
120,100,1840,41,1
100,140,1850,80,1
50,50,1415,10,6
50,50,1755,80,6
50,1,1840,41,7
1,50,1855,80,7
600,600,2230,44,2
600,50,2400,80,11
500,500,820,11,1
500,500,1610,80,1
500,500,1710,41,1
500,500,1930,80,1
500,500,900,52,1
500,500,905,80,1
500,500,610,44,1
500,140,615,11,1
140,500,1410,80,1
500,560,720,30,18
560,500,1425,80,18
500,560,720,30,18
560,500,1425,80,18
500,500,900,30,2
500,500,1545,80,7
50,240,1200,43,1
240,300,1300,41,1
300,300,1410,41,1
300,200,1440,41,2
200,50,1545,80,1
50,240,1200,41,2
