originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
450,425,1545,80,1,23.23
260,260,1015,44,1,8.02
260,260,1100,46,1,8.02
260,260,1200,80,1,8.02
260,260,1420,41,1,8.02
260,260,1535,80,1,8.02
260,260,1420,41,2,8.02
260,260,1535,80,2,8.02
300,300,1115,41,1,15.16
300,300,1130,80,1,15.16
300,300,1500,41,1,15.16
300,300,1530,40,1,15.16
300,300,1535,80,1,15.16
300,300,815,10,1,15.16
300,180,1130,51,1,15.16
180,300,1200,80,1,15.16
300,300,1215,10,1,15.16
300,300,1710,46,1,15.16
300,300,2300,80,1,15.16
50,50,1100,41,1,10.22
50,50,1130,80,1,10.22
240,50,910,11,1,18.55
50,50,1105,41,1,18.55
50,240,1120,40,1,18.55
240,240,1130,41,7,18.55
240,240,1150,80,1,18.55
240,1,1700,46,2,18.55
1,240,2120,80,2,18.55
240,50,720,10,6,18.55
50,240,1730,80,6,18.55
240,240,1900,46,6,18.55
240,240,2200,80,6,18.55
240,240,720,52,6,18.55
240,240,800,52,7,18.55
240,50,810,30,6,18.55
50,240,1530,80,6,18.55
240,240,720,30,6,18.55
240,240,1445,80,6,18.55
140,140,930,41,1,32.37
140,140,1030,80,1,32.37
500,500,1830,41,1,17.5
500,500,1925,80,1,17.5
500,240,630,46,1,17.5
240,500,645,80,1,17.5
50,140,1525,41,6,15.86
140,50,1625,80,6,15.86
50,600,800,11,6,15.86
600,50,1229,80,6,15.86
300,260,700,10,1,8.58
260,300,1530,80,1,8.58
500,500,1005,41,1,8.35
500,500,1030,41,7,8.35
500,500,1230,80,7,8.35
240,50,1730,44,7,20.37
50,240,1945,80,7,20.37
500,260,735,10,1,36.13
260,500,1700,80,1,36.13
500,200,700,10,1,36.13
200,500,1700,80,1,36.13
100,1,1645,51,1,11.51
500,140,1900,52,1,11.51
140,100,2040,80,1,11.51
140,180,715,10,3,97.05
180,140,1645,80,3,97.05
140,200,2045,46,11,97.05
200,140,2330,80,11,97.05
300,300,1835,46,7,15.38
300,300,1920,80,7,15.38
500,260,730,10,1,21.22
500,500,830,44,1,34.96
500,260,835,10,1,34.96
260,500,1855,80,1,34.96
120,300,930,41,1,6.65
300,300,1130,41,1,6.65
300,120,1300,80,1,6.65
120,300,930,41,2,6.65
300,300,1130,41,2,6.65
300,120,1300,80,2,6.65
300,300,1200,41,1,9.43
300,300,1230,41,1,9.43
300,300,1300,41,1,9.43
300,300,1330,80,1,9.43
50,140,720,10,1,18.72
140,50,1915,80,1,18.72
50,1,730,20,7,18.72
1,50,1600,80,7,18.72
50,120,845,52,1,20.11
120,50,905,80,1,20.11
50,50,1930,41,7,20.11
50,50,2000,80,7,20.11
50,140,700,10,6,20.11
140,50,1600,80,6,20.11
50,50,1630,44,7,20.11
50,50,1815,80,7,20.11
50,120,845,30,2,20.11
120,50,1700,80,4,20.11
50,50,850,30,7,20.11
50,50,1515,46,7,20.11
50,50,1730,80,7,20.11
50,140,920,51,4,12.22
140,120,1100,41,2,12.22
120,140,1400,41,2,12.22
140,50,1800,80,2,12.22
300,625,1330,10,1,15.47
625,300,1630,80,1,15.47
1,1,1615,41,7,8.45
1,1,1630,41,7,8.45
1,50,1645,41,7,8.45
50,1,1715,80,7,8.45
100,100,1610,41,3,9.58
100,100,1645,44,7,9.58
100,100,1700,80,3,9.58
100,100,1610,41,3,9.58
100,100,1645,44,7,9.58
100,100,1700,80,3,9.58
260,425,735,30,3,12.39
425,260,1550,80,5,12.39
200,240,735,52,1,24.4
240,50,745,52,1,24.4
50,1,805,10,1,24.4
1,50,1610,51,1,24.4
50,240,1635,51,1,24.4
240,200,1650,80,1,24.4
200,240,735,30,2,24.4
240,200,1650,80,2,24.4
350,260,610,10,1,9.03
260,350,1510,80,1,9.03
350,625,545,10,1,9.03
625,350,1945,80,1,9.03
350,140,730,20,1,9.03
140,350,1720,80,1,9.03
350,300,705,30,18,9.03
300,350,1430,80,18,9.03
300,300,1000,46,14,9.57
300,300,1200,80,14,9.57
300,300,1400,41,1,9.57
300,300,1600,80,1,9.57
300,300,1100,46,1,9.57
300,300,1300,80,1,9.57
500,500,1030,41,7,31.64
500,500,1200,80,7,31.64
50,50,800,46,6,35.98
50,50,910,80,6,35.98
50,140,745,10,6,35.98
140,50,1845,80,6,35.98
50,500,1715,46,1,72.51
500,50,2015,80,1,72.51
50,50,2330,80,7,72.51
425,425,1200,41,1,16.91
425,425,1300,80,1,16.91
400,360,700,10,1,19.39
360,400,1500,80,1,19.39
200,400,2100,80,1,19.39
400,50,800,20,3,19.39
50,400,1500,80,3,19.39
500,200,900,41,1,10.41
200,500,1015,80,1,10.41
500,500,1500,41,1,10.41
500,500,1540,80,1,10.41
500,500,840,43,1,10.41
500,500,1015,80,1,10.41
500,500,745,10,1,10.41
500,500,1805,41,1,10.41
500,500,1815,80,1,10.41
425,180,700,10,1,27.2
180,425,1830,80,1,27.2
100,50,605,41,7,11.38
50,1,645,10,7,11.38
1,100,1900,80,7,11.38
300,300,950,51,7,8.86
300,50,1055,43,13,8.86
50,350,1120,777,13,8.86
350,300,1125,80,13,8.86
300,350,1220,777,1,8.86
350,300,1310,80,1,8.86
300,300,1620,51,1,8.86
300,300,1630,80,1,8.86
140,140,1005,777,7,29.81
140,140,1020,80,7,29.81
140,120,1430,41,1,29.81
120,140,1700,80,1,29.81
140,140,1730,41,7,29.81
140,140,1845,80,7,29.81
140,240,900,10,1,29.81
240,140,945,80,1,29.81
140,140,1005,777,7,29.81
140,140,1020,80,7,29.81
140,50,1240,44,1,29.81
50,140,1400,80,1,29.81
140,120,1430,41,2,29.81
120,140,1700,80,2,29.81
140,140,1730,41,7,29.81
140,140,1845,80,7,29.81
140,140,1945,41,1,29.81
140,140,2000,80,1,29.81
180,260,2000,80,1,34.95
260,200,900,10,1,34.95
200,260,1600,80,1,34.95
260,260,900,30,18,34.95
260,260,1600,80,18,34.95
260,260,1800,41,7,34.95
260,260,1830,80,7,34.95
560,500,1200,11,1,20.82
500,500,1345,43,1,20.82
500,500,1500,41,1,20.82
500,500,1530,46,1,20.82
500,560,1630,80,1,20.82
180,180,1200,41,1,19.07
180,180,1330,80,1,19.07
180,200,800,10,1,19.07
200,180,1900,80,1,19.07
180,180,1500,41,1,19.07
180,180,1600,80,1,19.07
180,140,1800,44,1,19.07
140,180,2100,80,1,19.07
240,50,1000,43,6,18.01
50,50,1215,43,6,18.01
50,240,1400,43,6,18.01
50,240,2030,80,2,18.01
400,140,900,43,1,28.48
140,400,935,52,1,28.48
400,400,955,80,1,28.48
400,180,1915,46,1,28.48
180,400,2045,80,1,28.48
400,140,900,43,2,28.48
140,400,935,30,2,28.48
400,400,1605,80,18,28.48
400,140,900,43,2,28.48
140,400,935,30,2,28.48
400,400,1605,80,18,28.48
500,500,550,46,1,10.37
500,500,705,80,1,10.37
500,500,550,46,2,10.37
500,500,705,80,2,10.37
500,500,1420,80,1,10.37
260,500,1530,80,1,10.37
